book_name,author,price
운영관리(13판),"Jay Heizer , Barry Render , Chuck Munson",42000
"STEM CookBook, 문제 해결력을 키우는 동역학","유봉조 , 박경수",32000
"IT CookBook, 디지털 신호 처리(2판)",이철희,33000
조직행동론(3판),Angelo Kinicki,38000
ISE Business Statistics: Communicating with Numbers [4th Edition],"Sanjiv Jaggia , Alison Kelly",50000
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(7판)","우재남 , 박길식",33000
"IT CookBook, 원리로 이해하는 무선공학",홍익표,32000
"IT CookBook, 실전에 강한 드론 제작과 정비 : 이론부터 실무까지",박장환,28000
"IT CookBook, 쉽게 배우는 자료구조 with 자바",문병로,29000
"IT CookBook, 쉽게 배우는 자료구조 with 파이썬",문병로,29000
"IT CookBook, 데이터베이스 개론(3판)",김연희,29000
"IT CookBook, 디지털 논리회로 실험(2판)","홍경호 , 임석구",25000
"IT CookBook, 디지털 논리회로(4판)","임석구 , 홍경호",32000
공학도를 위한 수치해석(8판),"Steven C.Chapra , Raymond P. Canale",36000
"Case, Fair, Oster의 경제학원론","Karl E. Case , Ray C. Fair , Sharon M. Oster",39000
"IT CookBook, C 언어 for Beginner 4판",우재남,26000
"IT CookBook, 가상현실의 이해",송은지,22000
"IT CookBook, 난생처음 C 언어 프로그래밍",김화수,25000
"IT CookBook, 데이터 과학을 위한 파이썬 머신러닝",최성철,30000
"IT CookBook, 엑셀과 파워포인트 2019",김지연,23000
"IT CookBook, 자바스크립트 프로그래밍 입문(2판)",윤인성,27000
"IT CookBook, 파이썬 for Beginner(3판)",우재남,25000
기본 재무관리(제5판),"Jonathan Berk , Peter DeMarzo , Jarrad Harford",42000
(개발자에게 필요 없는 수학은 없다) 프로그래머를 위한 수학,폴 올랜드,42000
"STEM CookBook, 컴퓨팅 사고력을 키우는 이산수학(3판)",박주미,29000
"IT CookBook, 그림으로 배우고 실생활 예제로 실습하는 자바를 부탁해",박세홍(홍팍),26000
온톨로지 과학자를 위한 지식그래프,"딘 알레망 , 제임스 핸들러 , 파비엔 갠던",45000
"IT CookBook, 시스템 프로그래밍: 리눅스&유닉스",이종원,28000
한번에 적용하는 분석,히든그레이스 데이터분석팀,24000
인공지능 논리 입문,이은정,22000
"IT CookBook, 처음 만나는 전기기기(2판)","최은혁 , 박숭규",24000
"IT CookBook, 현대 센서공학(5판)",Jacob Fraden,35000
"IT CookBook, 모바일 웹 서비스 구현을 위한 JSP 웹 프로그래밍","김현규 , 박유현",30000
미래조직을 위한 조직설계의 이해(4판),"현선해 , 최세경 , 서문교",22000
쉽게 배우고 익히는 회계원리(4판),"정용기 , 김선미 , 임영제 , 신영직 , 유지선",30000
쉽게 배우고 익히는 회계원리[객관식/학습문제 해답](4판),"정용기 , 김선미 , 임영제 , 신영직 , 유지선",7000
"IT CookBook, 짧고 굵게 배우는 JSP 웹 프로그래밍과 스프링 프레임워크",황희정,27000
데이터베이스 시스템(7판),"Abraham Silberschatz , Henry F. Korth , S. Sudarshan",45000
비즈니스 애널리틱스,"Sanjiv Jaggia , Alison Kelly , Kevin Lertwachara , Leida Chen",38000
"STEM CookBook, 문제 해결력을 키우는 정역학",오충석,30000
최신 관리회계,"정재권 , 서한결 , 곽종민",28000
"IT CookBook, 처음 만나는 회로이론(2판)",방성완,23000
안전필수 시스템 제어 설계,"김국헌 , 김태효 , 이성섭",38000
"IT CookBook, C로 배우는 쉬운 자료구조(4판)",이지영,29000
"IT CookBook, 디지털 콘텐츠 기획(2판)",김성은,30000
"IT CookBook, 쉽게 배우는 소프트웨어 공학(2판)",김치수,30000
"IT CookBook, 컴퓨터 구조와 원리 3.0",신종홍,29000
"IT CookBook, 난생처음 파이썬 프로그래밍","우재남 , 최민아",24000
"IT CookBook, 정보 보안 개론(4판)",양대일,30000
"IT CookBook, 최신 기술 동향으로 알아보는 ICT와 4차 산업혁명","김용태 , 정윤수 , 박길철",24000
"STEM CookBook, 한 걸음씩 알아가는 선형대수학",Kuldeep Singh,32000
"STEM CookBook, 해석학 첫걸음",스티븐 애벗(Stephen Abbott),26000
"IT CookBook, 익스플로링 아두이노(2판)",JEREMY BLUM,32000
"IT CookBook, 난생처음 인공지능 입문",서지영,25000
제대로 작성하는 논문 : 시작부터 마무리까지,"노경섭 , 김정욱",20000
수학이 외계어처럼 들리는 이공계생을 위한 제로 수학,"김우섭(소동) , 강민범",22000
"STEM CookBook, 기초 선형대수학(2판)","이광연 , 설한국 , 김진수",26000
"STEM CookBook, 이공계생을 위한 확률과 통계(2판)","안승철 , 이광연 , 박기섭",25000
"IT CookBook,  문제해결을 위한 컴퓨팅 사고와 파이썬",김지연,24000
"IT CookBook, 컴퓨터 활용과 실습 2019","김경희 , 김혜란",25000
누워서 읽는 통계학,"와쿠이 요시유키 , 와쿠이 사다미",19800
만만한 통계 : R 활용,"닐 J. 샐카인드 , 레슬리 A. 쇼",28000
4차 산업혁명 시대를 위한 e-비즈니스 개론(4판),이동훈,27000
한글처럼 쉬운 중국어,"김원재 , 강은주",18000
회계원리,"이기호 , 이정엽 , 전홍준",23000
알기쉬운 회계원리의 기초(3판),"김혁 , 윤승준 , 이원강",26000
최신 원가회계,"정재권 , 서한결 , 곽종민",28000
"IT CookBook, C 언어 일취월장(2판)",신윤환,28000
소비자행동,김학윤,35000
"Numerical Methods for Engineers, 8th Edition","Steven Chapra , Raymond Canale",45000
"IT CookBook, SQL Server로 배우는 데이터베이스 개론과 실습(2판)","박우창 , 남송휘 , 이현룡",29000
"IT CookBook, 손에 잡히는 데이터 통신",임석구,29000
"IT CookBook, 파이썬 자료구조와 알고리즘 for Beginner",우재남,27000
"STEM CookBook, 대학물리학(5판)",Alan Giambattista,43000
"STEM CookBook, 재료역학(2판)","Anthony Bedford , Kenneth M. Liechti",38000
창업을 디자인하라(2판),유순근,29000
"IT CookBook, 디지털 회로 실험 with PSpice",홍순관,22000
데이터 과학을 위한 기초수학 with 파이썬,이병준,26000
미분적분학 : 대학수학의 첫걸음,수학교재편찬위원회,28000
제대로 시작하는 기초 통계학 : Excel 활용 (2판),노경섭,25000
친절한 미분적분학,"캐럴 애시, 로버트 B. 애시",32000
"IT CookBook, 4차 산업혁명과 정보통신의 이해","김정섭 , 이호상 , 양인창",25000
"IT CookBook, C# 프로그래밍 2판",윤인성,26000
"IT CookBook, 게임 제작으로 배우는 유니티","이종원 , 정종필",30000
"IT CookBook, 난생처음 R 코딩 & 데이터 분석","오세종 , 신현석",25000
"IT CookBook, 난생처음 인공지능 with 스크래치",고광일,23000
"IT CookBook, 난생처음 컴퓨팅 사고 with 파이썬",김명호,23000
"IT CookBook, 초융합 시대의 멀티미디어와 콘텐츠","김용태 , 박길철",29000
"IT CookBook, 파이썬으로 만드는 인공지능","오일석 , 이진선",31000
"IT CookBook, 핵심이 보이는 전자기학",김성중,28000
"Statics and Mechanics of Materials, 3rd Edition","Ferdinand Beer , E. Johnston , John DeWolf , David Mazurek",45000
"IT CookBook, 데이터 과학 기반의 파이썬 빅데이터 분석",이지영,28000
"IT CookBook, 전자기학 : 풍부한 그림으로 형상화하여 이해하는 전자기학의 핵심",김동명,38000
"IT CookBook, 쉽게 배우는 자바 프로그래밍 2판",우종정,29000
포르잔 C++ 에센셜,"Behrouz A. Forouzan , Richard F. Gilberg",32000
플랫폼 비즈니스를 위한 경영정보시스템,"정창근 , 김종락 , 김시영",29000
"IT CookBook, 액세스 2019로 배우는 데이터베이스 기초와 실습",김지연,28000
뉴 머신시대의 기업가정신을 찾아서,이건창,18000
세계화와 지역화 : 한국의 선택은?,황해두,17000
포르잔 C++ 바이블,"Behrouz A. Forouzan , Richard F. Gilberg",45000
4차산업혁명시대의 창업실무,"조보상 , 윤두열",28000
딥러닝을 위한 선형대수학,Gilbert Strang,38000
"IT CookBook, 오라클로 배우는 데이터베이스 개론과 실습(2판)","박우창 , 남송휘 , 이현룡",29000
대학을 버려야 대학이 산다,조동성 외 인천대학교 가족 178명,18000
"IT CookBook, 따라 하면서 배우는 사물인터넷",양재삼,28000
R로 하는 다변량 데이터 분석 : 이론부터 실무 활용까지,"카와하시 잇코 , 이와마 노리카즈 , 스즈키 마사유키",32000
창의적 공학설계(3판),김은경,23000
공학 핵심수학(2판)  : 기초부터 심화까지 핵심만 쏙쏙,함남우,23000
응용이 보이는 선형대수학 : 파이썬과 함께하는 선형대수학 이론과 응용,이건명,31000
"IT CookBook, 초연결 사회의 데이터통신과 네트워킹",강문식,29000
"IT CookBook, 쉽게 배우는 MFC 윈도우 프로그래밍","김선우 , 신화선",30000
"IT CookBook, 인공지능 시대를 위한 컴퓨터 과학 개론",정기철,27000
"IT CookBook, 코틀린을 활용한 안드로이드 프로그래밍","우재남 , 유혜림",34000
"IT CookBook, 처음 만나는 신재생에너지",김지홍,25000
프리드버그 선형대수학,"스티븐 H. 프리드버그 , 아놀드 J. 인셀 , 로렌스 E. 스펜스",35000
"IT CookBook, CentOS 리눅스",이종원,32000
"Microeconomics, 6th Edition, Asia Edition","David Besanko , Ronald Braeutigam",49000
정서노동과 행복,이동명,23000
누구나 파이썬 통계분석,타니아이 히로키,26000
4차산업혁명시대 신노사관계론,정형일,30000
회계원리,"김확열 , 최상문",13000
제대로 배우는 MATLAB&Simulink,방성완,29000
의료관광론,고태규,25000
공학도를 위한 경영 : 4차 산업혁명 시대,하귀룡,25000
EXCEL로 구현해 보는 행렬회계,정용기,30000
벤처창업과 투자전략(개정판),정종용,22000
최신 마케팅,"고인곤 , 성정연 , 이성철 , 이승희 , 장형유 , 허남일",30000
"SWedu 011, 앱 인벤터(2판) : 쉽고 재미있게 만드는 앱 프로그래밍",이종원,24000
"IT CookBook, 컴파일러의 이해 : 내공 있는 프로그래머로 길러주는 (증보판)",박두순,27000
"IT CookBook, 운영체제론 : Operating Systems, 3rd Ed","하비 디텔 , 폴 디텔 , 데이빗 쇼픈스",32000
처음 배우는 통계학,"이호선 , 유현미 , 김종배",27000
기초수학 : Basic Mathematics(2판),이재원,20000
"IT CookBook, 4차 산업혁명 시대의 정보통신개론",고응남,25000
"IT CookBook, UI 디자인과 프로토타이핑을 위한 Adobe XD",이영주,27000
"IT CookBook, UI/UX 디자인 이론과 실습 with Adobe XD",이영주,28000
"IT CookBook, 객체 지향 설계와 분석을 위한 UML 기초와 응용","한정수 , 김귀정",24000
"IT CookBook, 리눅스 실습 for Beginner",우재남,24000
"IT CookBook, 비주얼 베이직 2019 입문",임관철,25000
"IT CookBook, 스크래치로 배우는 컴퓨팅 사고","조성호 , 고광일",21000
"IT CookBook, 엑셀로 배우는 데이터 분석",박주미,21000
"IT CookBook, 초연결 사회를 위한 컴퓨터 개론",조성호,26000
NO BULLSHIT 선형대수학 가이드,Ivan Savov,28000
NO BULLSHIT 수학&물리 가이드,Ivan Savov,28000
정보교과교육론(2판),"이태욱 , 최현종 , 전용주",27000
실무로 완성하는 PLC(멜섹Q) : 서보를 이용한 위치 제어,정완보,28000
"College Physics, 5th Edition",Alan Giambattista,52000
Stata로 끝내는 논문,정규형,25000
"Business Statistics: For Contemporary Decision Making, 10th Edition, Asia Edition",Ken Black,49000
"IT CookBook, 유닉스 이론과 실습(3판)","이종원 , 윤소정",25000
"IT CookBook, 경영경제통계학",유영태,28000
"Swedu, 정보적 사고에서 인공 지능까지",김현철,19000
"IT CookBook, 문제 해결력을 키우는 디자인 씽킹","이정현 , 송태란",22000
직무·인사시스템과 인적자원관리,이춘우,32000
경영이란 무엇인가,이건창,20000
K-IFRS 회계 트래킹,최진현,25000
자재 재고관리 이론과 실제,김정,15000
"IT CookBook, 모두를 위한 R 데이터 분석 입문",오세종,26000
경영조직론,"변상우 , 박형근",27000
쉽고 재미있는 창업회계,"정재권 , 이장희 , 곽종민",28000
의사결정을 위한 현대통계학,"강병서 , 조철호 , 이은지 , 김병희",30000
인적자원관리,"변상우 , 윤두열",28000
인적자원관리론,"양춘희 , 신형재 , 권용만 , 정용배",27000
"IT CookBook, 최신 컴퓨터 구조","임석구 , 홍경호",28000
"IT CookBook , MySQL로 배우는 데이터베이스 개론과 실습","박우창 , 남송휘 , 이현룡",27000
그림으로 배우는 기초통계학(제4판),박상규,27000
"IT CookBook, HTML5 웹 프로그래밍 입문(3판)",윤인성,26000
"IT CookBook, 컴퓨터 활용과 실습 2016",김주영,24000
"IT Cookbook, 처음 만나는 전자회로",황형수,24000
스트랭 미분방정식과 선형대수학,Gilbert Strang,30000
"IT CookBook, 네트워크 개론(3판)",진혜진,25000
"IT CookBook, 텐서플로로 배우는 딥러닝","박혜정 , 석경하 , 심주용 , 황창하",27000
"IT CookBook, 파워포인트 2016",김지연,19000
"SWedu, 스크래치 3.0 : 컴퓨팅 사고력을 키우는 블록 코딩",고광일,22000
"IT CookBook, design school 포토샵 & 일러스트레이터 CC 2019",이영주,23000
"IT CookBook, PHP 프로그래밍 입문(3판)",황재호,25000
칼만 필터는 어렵지 않아 with MATLAB Examples,김성필,26000
"IT CookBook, R로 배우는 데이터 과학","양윤석 , 오일석 , 강래형",27000
"IT CookBook, design school 포토샵 CC 2019",이영주,22000
마켓 4.0시대의 마케팅원론,"신건철 , 김종락 , 박지형 , 김시영",34000
경영학원론(제5판),이기호,24000
마켓 4.0시대의 온라인 커머스전략,김종락,26000
세계화 4.0 시대의 무역개론(제6판),이장로,29000
제대로 알고 쓰는 논문 통계분석 : SPSS & AMOS (개정증보판),노경섭,28000
이산수학 : tool 중심으로 이해하는 새로운 시각,박두순,24000
"IT CookBook, 따라 하면서 배우는 마이크로컨트롤러",허경용,28000
스트랭 미분적분학,Gilbert Strang,34000
"IT CookBook, 데이터 과학을 위한 파이썬 프로그래밍",최성철,25000
"IT CookBook, 데이터베이스 for Beginner",우재남,24000
한번에 통과하는 논문 : AMOS 구조방정식 활용과 SPSS 고급 분석,히든그레이스 논문통계팀,28000
공학도라면 반드시 알아야 할 최소한의 과학,John Bird,24000
"IT CookBook, 전공자를 위한 C 언어 프로그래밍",주우석,29000
"IT CookBook, design school 프리미어 프로 CC",강재신,25000
"IT CookBook, design school 일러스트레이터 CC",이영주,23000
"IT CookBook, 모바일 & 데스크톱을 위한 웹 기획 프로세스",강은정,24000
"IT CookBook, 시스템 해킹과 보안(3판)",양대일,27000
"IT CookBook, 자바 프로그래밍 for Beginner",우재남,26000
"IT CookBook, 쉽게 배우는 JSP 웹 프로그래밍",송미영,27000
NCS를 기반으로 한 직무 기초수학,"이광연 , 조성훈 , 최상일",22000
수치해석학 바이블,"Ward Cheney , David Kincaid",34000
MATLAB으로 배우는 공학 수치해석(개정판),방성완,24000
"IT CookBook, 모바일 UI/UX 디자인 실무",이영주,28000
"IT CookBook, R로 배우는 딥러닝","박혜정 , 석경하 , 심주용 , 황창하",23000
"SWedu, 엔트리파이선","정영식 , 홍은미 , 김슬기 , 김성훈",22000
"IT CookBook, 엑셀 2016",김지연,19000
만만한 통계 : Excel 활용,닐 샐카인드(Neil J. Salkind),26000
수식이 보이는 공학수학 : Engineering Mathematics (개정판),장윤석,24000
2030 젊은이에게 전하고픈 삶의 법칙들,김종배,22000
"IT CookBook, 핵심이 보이는 전자회로 with PSPICE(개정판)",신경욱,32000
MOS 2016 액세스,"김경희 , 오해강",14000
MATLAB으로 배우는 공학수학 : Engineering Mathematics (개정판),소상균,28000
한번에 통과하는 논문 : SPSS 결과표 작성과 해석 방법,히든그레이스 논문통계팀,23000
"IT CookBook, C++ 트레이닝",김상형,26000
국제경영(제7판),"이장로 , 신만수",40000
4차 산업혁명 시대의 기업 혁신을 위한 비즈니스 프로세스,"정승렬 , 이정규",29000
"IT CookBook, 핵심이 보이는 제어공학(개정판)",김성중,26000
엑셀2016기초+실무활용,윤종찬,20000
"IT CookBook, 우분투 리눅스(개정판)",이종원,31000
글로벌 수출마케팅,권영철,25000
4차산업혁명시대의 경영정보시스템,김세중,29000
현대재무관리(전정7판),조담,33000
쉽고 빠르게 합격하는 COS 2급,이연란,16200
생각하며 배우는 대학물리학,이기영,30000
"IT CookBook, 소프트웨어 세상을 여는 컴퓨터 과학",김종훈,22000
"IT CookBook, 쉽게 배우는 알고리즘(개정판)",문병로,27000
MOS 2016 아웃룩,"김경희 , 오해강",14000
"IT CookBook, 확률과 랜덤 과정",정호영,23000
"IT CookBook, 기초부터 시작하는 PLC: 지멘스 S7-1500",정완보,23000
미분적분학 에센스,제임스 스튜어트,28000
미분적분학 바이블,제임스 스튜어트,36000
"IT CookBook, 기초 회로이론(개정 2판)",최윤식,24000
"IT CookBook , 엑셀과 파워포인트 2016",김지연,22000
"IT CookBook, 기본 개념과 핵심 원리로 배우는 C++ 프로그래밍",김화수,28000
"SWedu, 파이선으로 쉽게 배우는 프로그래밍 입문",조인석,21000
"IT CookBook, 단계별로 배우는 안드로이드 프로그래밍",김선우,35000
기계 학습,오일석,32000
"IT CookBook, C 언어 트레이닝",김상형,25000
"IT CookBook, 전기전자공학 개론(개정 6판)","Stan Gibilisco , Simon Monk",32000
"IT CookBook, 핵심이 보이는 전자회로 실험 with PSPICE",신경욱,25000
"IT CookBook, 페도라 리눅스(개정판)",이종원,29000
금융포용과 금융약자를 위한 미래,"남주하 , 김정렬 , 김영준 , 박정수",22000
한번에 통과하는 논문 : 논문 검색과 쓰기 전략,히든그레이스 논문통계팀,18900
"SWedu, 비트브릭","김경하 , 박승미 , 최선경 , 이민아 , 김진선 , 강병수 , 이신영",19000
MOS 2016 워드 Expert,"김경희 , 오해강",14000
MOS 2016 엑셀 Expert,"김경희 , 오해강",14000
MOS 2016 파워포인트,"김경희 , 오해강",14000
글로벌 비즈니스 시대의 국제물류와 SCM,"신건철 , 김종락",25000
4차 산업혁명 시대의 경영정보시스템,이동훈,28000
"IT CookBook, 차세대 웹 프로그래밍",홍성용,26000
개념이 잡히는 디지털 전자회로,강영국,29000
"IT CookBook, 유닉스 시스템 프로그래밍",이종원,25000
문과생도 이해하는 전기전자수학,야마시타 아키라,20000
확률과 통계 입문 : Basic Probability & Statistics,이재원,20000
기초 미분적분학(개정판) : Pre Calculus,함남우,22000
"IT CookBook, 인터넷 해킹과 보안 개정3판",김경곤,25000
"IT CookBook, MFC 윈도우 프로그래밍",강경우,27000
"IT CookBook, 기초부터 시작하는 PLC : 멜섹Q",정완보,23000
객체지향 소프트웨어 공학,최은만,29000
경영학원론,"유기현 , 신형재 , 권용만",24000
글로벌사회와 리더십,안광현,25000
기초 공업수학,마인숙,20000
K-IFRS 적용 원가관리회계,조군제,29000
"IT CookBook, 반도체 공학(개정판)",김동명,35000
"IT CookBook, 기초 통신이론",김영길,22000
데이터 아이코놀로지,박진완,26000
최신 노사관계론,"민경호 , 정성진",25000
기본에 충실한 원가회계,"박범호 , 이유 , 전하성 , 오준환 , 윤세현",26000
easy LED : 초보자를 위한 LED 가이드북,홍순관,18000
"IT CookBook, 디지털 시스템 설계 및 실습 with VHDL & Verilog HDL",노승환,25000
"IT CookBook, 기초 전기전자 에센스","모현선 , 장성용 , 홍익표",25000
"IT CookBook, 비주얼 베이직 2015 for Beginner",임관철,24000
"IT CookBook, 네트워크 해킹과 보안 개정3판 : 정보 보안 개론과 실습",양대일,26000
"IT CookBook, 쉽게 배우는 데이터 통신과 컴퓨터 네트워크 (개정판)",박기현,27000
"IT CookBook, HTML & CSS for Beginner",황재호,23000
경제발전론과 현대중국,나까가네 카츠지,21000
"SWedu, 컴퓨팅 사고력을 키우는 SW 교육 : 엔트리 & 햄스터","황준 , 박광현 , 이웅재 , 최은정 , 고혜영 , 이재호 , 손예진 , 조민주",20000
인간중심의 사용성평가,박형근,25000
"IT CookBook, 인터넷 윤리","최희식 , 김상균",22000
현장중심 창업의 이해,"임재석 , 최인식 , 조준호 , 염현숙",25000
파이썬으로 배우는 프로그래밍 기초,크리스 로피,13000
"IT CookBook, 자바 프로그래밍 바이블","오경주 , 염기호 , 정용훈",29000
현대경영과학(8판),김세헌,35000
제대로 알고 쓰는 R 통계분석,이윤환,25000
"IT CookBook, 처음 만나는 디지털 논리회로","임석구 , 홍경호",22000
"SWedu, 컴퓨팅 사고력을 키우는 SW 교육 : 파이썬",우재남,22000
"IT CookBook, 기초 신호 및 시스템",이철희,26000
생생한 사례로 배우는 확률과 통계,이재원,25000
공학과 경영,김상균,26000
"IT CookBook, 운영체제(개정3판)",구현회,27000
"IT CookBook, 처음 만나는 전자기학",곽동주,23000
IT 해외 취업 가이드 : 미국편,송기봉,18000
"IT CookBook, 따라 하면서 배우는 아두이노",허경용,26000
온라인 유통마케팅,신광수,40000
스크래치를 활용한 문제해결능력 향상,김종훈,9000
인적자원관리론(개정판),윤두열,28000
대학생을 위한 스크래치 프로그래밍 : 누구나 할 수 있는 가장 쉬운 프로그래밍 입문서,김종훈,18000
최신 공학수학 with Sage Ⅱ,"이상구 , 김영록 , 박준현 , 김응기 , 이재화",23000
"IT CookBook, 최신 이동통신 입문 : Mobile Communications",Jochen H. Schiller,28000
"IT CookBook, 쉬운 영어로 읽는 최신 전산 영어(개정3판)",조준모,17000
"IT CookBook, 데이터베이스 기초와 실습 : 액세스 2013",김지연,25000
"IT CookBook, 컴퓨터 사이언스(개정판) : 새내기를 위한 최신 컴퓨터 개론","이동명 , 권오현 , 고정국",24000
"IT CookBook, 핵심이 보이는 반도체 공학",권기영,28000
"IT CookBook, 시스템 분석과 설계(개정판) : 효과적인 비즈니스 정보시스템 개발",허원실,25000
"IT CookBook, JUST JAVA : 객체지향에 충실한 자바다운 자바",황희정,25000
"IT CookBook, UI/UX 디자인 이론과 실습",이영주,27000
"IT CookBook, 정보보안 이론과 실제",마크 스탬프,25000
문제로 익히는 영문회계기초,윤승준,18000
"IT CookBook, 리눅스 프로그래밍 기초 : 시스템 호출, 라이브러리 함수별 실습","최태영 , 황준하 , 고재필 , 윤현주 , 김용호",20000
앱 인벤터 2 : 구글과 MIT 앱 인벤터 개발팀이 안내하는 안드로이드 프로그래밍,"David Wolber , Hal Abelson , Ellen Spertus , Liz Looney",24000
easy LTE : 초보 기술자를 위한 이동통신 가이드북,이상근,23000
"창의와 혁신의 시크릿, 트리즈 : Training How To Think Inventively",김은경,23000
"IT CookBook, 핵심 API로 배우는 윈도우 프로그래밍",강경우,26000
MATLAB으로 배우는 선형대수학 : Linear Algebra with MATLAB,"이광연 , 설한국",27000
창의융합 프로젝트 아이디어북 : Creative Convergence Capstone Design with PBL,조준동,24000
"IT CookBook, XML 프로그래밍 : 체계적으로 배우는 XML 원리와 응용",홍성용,27000
